doc_id,sid,tid,token,token_with_ws,lemma,upos,xpos,tid_source,relation,token_clean,expected_prediction
940,5,7,tired,tired,tired,ADJ,JJ,2,acomp,tired,0.015965592
940,5,8,on,on,on,ADP,IN,7,prep,on,1.89E-08
940,5,9,the,the,the,DET,DT,10,det,the,8.77E-08
940,5,10,palate,palate,palate,NOUN,NN,8,pobj,palate,3.30E-08
940,5,12,and,and,and,CCONJ,CC,2,cc,and,7.68E-07
940,5,13,it,it,-PRON-,PRON,PRP,14,nsubj,it,1.64E-09
940,5,14,is,is,be,VERB,VBZ,2,conj,is,5.32E-10
940,5,15,very,very,very,ADV,RB,16,advmod,very,5.94E-08
940,5,16,clean,clean,clean,ADJ,JJ,14,acomp,clean,4.53E-05
940,5,18,without,without,without,ADP,IN,14,prep,without,2.31E-05
940,5,19,the,the,the,DET,DT,21,det,the,9.82E-08
940,5,20,excessive,excessive,excessive,ADJ,JJ,21,amod,excessive,0.001212008
940,5,21,woodiness,woodiness,woodiness,NOUN,NN,18,pobj,woodiness,0.999796569
940,5,22,often,often,often,ADV,RB,23,advmod,often,4.54E-08
940,5,23,found,found,find,VERB,VBN,21,acl,found,9.84E-08
940,5,24,in,in,in,ADP,IN,23,prep,in,1.68E-09
940,5,25,whiskies,whiskies,whisky,NOUN,NNS,24,pobj,whiskies,5.65E-06
940,5,26,of,of,of,ADP,IN,25,prep,of,2.38E-10
940,5,27,this,this,this,DET,DT,28,det,this,2.32E-09
940,5,28,age,age,age,NOUN,NN,26,pobj,age,5.96E-08
940,6,1,Plus,Plus,plus,CCONJ,CC,7,cc,plus,2.60E-08
940,6,3,the,the,the,DET,DT,4,det,the,1.21E-07
940,6,4,balance,balance,balance,NOUN,NN,7,nsubj,balance,1.22E-05
940,6,5,of,of,of,ADP,IN,4,prep,of,9.91E-10
940,6,6,flavors,flavors,flavor,NOUN,NNS,5,pobj,flavors,6.10E-06
940,6,7,is,is,be,VERB,VBZ,0,root,is,4.09E-10
940,6,8,impeccable,impeccable,impeccable,ADJ,JJ,10,amod,impeccable,1.18E-04
940,6,10,vanilla,vanilla,vanilla,NOUN,NN,7,attr,vanilla,0.999999642
940,6,12,honeyed,honeyed,honeyed,ADJ,JJ,10,acl,honeyed,0.999958754
940,6,13,malt,malt,malt,NOUN,NN,12,dobj,malt,1
940,6,15,peaches,peaches,peach,NOUN,NNS,13,conj,peaches,0.999999642
940,6,17,pineapple,pineapple,pineapple,NOUN,NN,15,conj,pineapple,1
940,6,19,heather,heather,heather,NOUN,NN,17,conj,heather,0.999521375
940,6,21,and,and,and,CCONJ,CC,19,cc,and,1.43E-06
940,6,22,just,just,just,ADV,RB,24,advmod,just,3.52E-09
940,6,23,a,a,a,DET,DT,24,det,a,7.64E-10
940,6,24,touch,touch,touch,NOUN,NN,19,conj,touch,4.15E-05
940,6,25,of,of,of,ADP,IN,24,prep,of,1.47E-09
940,6,26,oak,oak,oak,NOUN,NN,25,pobj,oak,0.999999285
940,7,1,A,A,a,DET,DT,6,det,a,6.81E-10
940,7,2,very,very,very,ADV,RB,3,advmod,very,3.48E-08
940,7,3,polished,polished,polished,ADJ,JJ,6,amod,polished,0.00124045
940,7,5,refined,refined,refined,ADJ,JJ,6,amod,refined,3.96E-04
